Station,County,Line,London_Terminus,Operator,Drive_Time_Horsham_Minutes,Drive_Time_Hertford_Minutes,Latitude,Longitude,Train_Times_To_Terminals,Min_Train_Time_Minutes
Addlestone,Surrey,Chertsey Loop (SWR),Waterloo,,47,64,51.3731108,-0.4843242,Waterloo:63,63
Aldershot,Hampshire,Alton Line (SWR),Waterloo,,56,77,51.248366,-0.7557509,Waterloo:50,50
Alton,Hampshire,Alton Line (SWR),Waterloo,,67,91,51.1519401,-0.9672624,Waterloo:71,71
Andover,Hampshire,West of England Main Line (SWR),Waterloo,,95,114,51.2116224,-1.4922763,Waterloo:73,73
Angmering,West Sussex,West Coastway (Southern),Victoria,,29,126,50.829189,-0.483919,Victoria:116,116
Arundel,West Sussex,Arun Valley / West Coastway (Southern),Victoria,,33,124,50.855171,-0.555119,Victoria:91,91
Ascot,Berkshire,Reading via Ascot (SWR),Waterloo,,61,68,51.4063262,-0.6758584,Waterloo:61,61
Ash,Surrey,Alton / North Downs Line (SWR),Waterloo,,53,75,51.2470358,-0.7190764,Waterloo:63,63
Ashford International,Kent,HS1 (Southeastern),St Pancras International,,78,95,51.1433539,0.8748532,St Pancras International:42,42
Ash Vale,Surrey,Alton Line (SWR),Waterloo,,56,74,51.264376,-0.7219719,Waterloo:45,45
Ashford (Surrey),Surrey,SWR,Waterloo,,57,61,51.4274516,-0.4552643,Waterloo:44,44
Ashtead,Surrey,Epsom / Dorking Line (Southern),Victoria / London Bridge,,31,75,51.31068399999999,-0.296968,"Victoria:54, London Bridge:62",54
Aylesbury,Buckinghamshire,Chiltern Railways,Marylebone,,93,56,51.8137625,-0.8148232000000001,Marylebone:68,68
Aylesbury Vale Parkway,Buckinghamshire,Chiltern Railways,Marylebone,,97,61,51.83126129999999,-0.8598608000000001,Marylebone:76,76
Aylesford,Kent,Medway Valley (Southern),Victoria,,57,70,51.304309,0.47806,Victoria:80,80
Aylesham,Kent,Chatham Main Line (Southeastern),Victoria,,104,113,51.2274058,1.2096984,Victoria:120,120
Bagshot,Berkshire,Reading via Ascot (SWR),Waterloo,,55,66,51.360343,-0.697894,Waterloo:71,71
Balcombe,West Sussex,Brighton Main Line (Southern/Thameslink),Victoria / London Bridge / Blackfriars / St Pancras,,20,90,51.05556,-0.136921,"Victoria:46, London Bridge:42, Blackfriars:48, St Pancras:57",42
Baldock,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,101,28,51.9895039,-0.189128,"King's Cross:38, St Pancras:39",38
Banbury,Oxfordshire,Chiltern Railways,Marylebone,,114,101,52.0604142,-1.3276253,Marylebone:76,76
Barnham,West Sussex,West Coastway (Southern),Victoria,,40,128,50.8308523,-0.6401195,Victoria:88,88
Basildon,Essex,c2c,Fenchurch Street,,68,46,51.568162,0.456785,Fenchurch Street:44,44
Basingstoke,Hampshire,South Western Main Line (SWR),Waterloo,,77,93,51.268304,-1.0876824,Waterloo:46,46
Battle,East Sussex,Hastings Line (Southeastern),Charing Cross / London Bridge,,76,104,50.91301499999999,0.4949607,"Charing Cross:88, London Bridge:83",83
Beaconsfield,Buckinghamshire,Chiltern Railways,Marylebone,,64,50,51.6023072,-0.6319366,Marylebone:27,27
Bearsted,Kent,Maidstone East Line (Southeastern),Victoria,,63,81,51.275953,0.5777827,Victoria:76,76
Beaulieu Park,Essex,Greater Anglia,Liverpool Street,,85,51,51.758064,0.5183559999999999,Liverpool Street:42,42
Bedford,Bedfordshire,Thameslink,St Pancras / Blackfriars / City Thameslink / Farringdon,,112,54,52.1362511,-0.4794361999999999,"St Pancras:48, Blackfriars:67, City Thameslink:70, Farringdon:71",48
Bedhampton,Hampshire,Portsmouth Direct (SWR),Waterloo,,60,114,50.8582682,-1.0001658,Waterloo:118,118
Bekesbourne,Kent,Chatham Main Line (Southeastern),Victoria,,98,107,51.26149299999999,1.1370902,Victoria:114,114
Beltring,Kent,Medway Valley (Southern),Victoria,,56,75,51.2045414,0.4032836,Victoria:85,85
Benfleet,Essex,c2c,Fenchurch Street,,73,57,51.544064,0.561905,Fenchurch Street:50,50
Bentley,Hampshire,Alton Line (SWR),Waterloo,,61,85,51.18129339999999,-0.8682042999999999,Waterloo:64,64
Berkhamsted,Hertfordshire,West Coast Main Line (LNR),Euston,,79,42,51.76343199999999,-0.562197,Euston:33,33
Bexhill,East Sussex,Hastings Line (Southeastern),Charing Cross,,71,116,50.841,0.4769685,Charing Cross:121,121
Bicester North,Oxfordshire,Chiltern Railways,Marylebone,,102,85,51.9034779,-1.1502046,Marylebone:54,54
Bicester Village,Oxfordshire,Chiltern Railways,Marylebone,,102,82,51.8926017,-1.1495538,Marylebone:71,71
Biggleswade,Bedfordshire,East Coast Main Line (LNER/Thameslink),King's Cross,,108,35,52.086938,-0.26422,King's Cross:41,41
Billericay,Essex,Greater Anglia,Liverpool Street,,76,48,51.62873769999999,0.418399,Liverpool Street:37,37
Billingshurst,West Sussex,Arun Valley (Southern),Victoria,,16,111,51.0152,-0.4502799999999999,Victoria:73,73
Birchington-on-Sea,Kent,Chatham Main Line (Southeastern),Victoria,,97,104,51.3775244,1.3013298,Victoria:108,108
Birmingham International,West Midlands,Chiltern Railways,Marylebone,,154,125,52.4507254,-1.7252436,Marylebone:110,110
Birmingham Moor Street,West Midlands,Chiltern Railways,Marylebone,,166,136,52.4787335,-1.892601,Marylebone:119,119
Birmingham New Street,West Midlands,Avanti West Coast,Euston,,164,140,52.477754,-1.898958,Euston:87,87
Birmingham Snow Hill,West Midlands,Chiltern Railways,Marylebone,,170,131,52.4828589,-1.8984066,Marylebone:127,127
Bishop's Stortford,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,92,21,51.8721635,0.1536502,Liverpool Street:63,63
Bishopstone,East Sussex,Seaford Branch (Southern),London Bridge / Victoria,,50,127,50.7801919,0.0827024,"London Bridge:99, Victoria:99",99
Bletchley,Buckinghamshire,West Coast Main Line (LNR),Euston,,110,65,51.9953145,-0.7367237999999999,Euston:40,40
Bognor Regis,West Sussex,West Coastway (Southern),Victoria,,47,133,50.7865415,-0.6762836999999999,Victoria:112,112
Bookham,Surrey,New Guildford Line (SWR),Waterloo,,30,78,51.2783826,-0.3733532,Waterloo:61,61
Bosham,West Sussex,West Coastway (Southern),Victoria,,51,124,50.8332044,-0.8508142999999999,Victoria:103,103
Bracknell,Berkshire,Reading via Ascot (SWR),Waterloo,,61,71,51.4131118,-0.7516147999999999,Waterloo:70,70
Braintree,Essex,Greater Anglia,Liverpool Street,,105,43,51.880087,0.5509269,Liverpool Street:69,69
Braintree Freeport,Essex,Greater Anglia,Liverpool Street,,138,44,51.8692504,0.568346,Liverpool Street:68,68
Brighton,East Sussex,Brighton Main Line (Southern/Thameslink),Victoria / London Bridge / Blackfriars / St Pancras,,36,116,50.8288519,-0.1410151,"Victoria:65, London Bridge:68, Blackfriars:74, St Pancras:86",65
Bristol Parkway,South Gloucestershire,GWR,Paddington,,149,146,51.5142739,-2.5432277,Paddington:80,80
Bristol Temple Meads,Bristol,GWR,Paddington,,152,149,51.4497104,-2.5806191,Paddington:102,102
Broadstairs,Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,108,115,51.360163,1.432038,"Victoria:120, Charing Cross:107",107
Brockenhurst,Hampshire,South Western Main Line (SWR),Waterloo,,108,137,50.8192106,-1.5754565,Waterloo:101,101
Bromley South,Greater London,Chatham Main Line (Southeastern),Victoria,,55,70,51.4000729,0.0174195,Victoria:27,27
Broxbourne,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,90,14,51.746914,-0.01106,Liverpool Street:34,34
Burgess Hill,West Sussex,Brighton Main Line (Southern/Thameslink),Victoria / London Bridge / St Pancras,,27,105,50.9537232,-0.1273427,"Victoria:54, London Bridge:55, St Pancras:72",54
Burnham,Buckinghamshire,Elizabeth Line / GWR,Paddington,,63,60,51.5233529,-0.6465506000000001,Paddington:42,42
Burnham-on-Crouch,Essex,Greater Anglia,Liverpool Street,,96,76,51.628347,0.814539,Liverpool Street:69,69
Bury St. Edmunds,Suffolk,Greater Anglia,Liverpool Street,,146,72,52.2535507,0.7124832999999999,Liverpool Street:124,124
Byfleet & New Haw,Surrey,South Western Main Line (SWR),Waterloo,,47,67,51.3498379,-0.4812591999999999,Waterloo:44,44
Cambridge,Cambridgeshire,Greater Anglia / Thameslink,Liverpool Street / King's Cross / St Pancras,,132,53,52.1942193,0.1374478,"Liverpool Street:77, King's Cross:59, St Pancras:60",59
Cambridge North,Cambridgeshire,Greater Anglia,Liverpool Street,,135,57,52.2238386,0.1577312,Liverpool Street:89,89
Canterbury East,Kent,Chatham Main Line (Southeastern),Victoria,,93,100,51.2742989,1.0759899,Victoria:108,108
Canterbury West,Kent,Southeastern High Speed,St Pancras International,,91,99,51.2841375,1.0754923,St Pancras International:56,56
Chappel & Wakes Colne,Essex,Greater Anglia,Liverpool Street,,124,63,51.92587409999999,0.7585058000000001,Liverpool Street:68,68
Charing,Kent,Southeastern,Charing Cross / London Bridge / Victoria,,73,90,51.2081353,0.7903492999999999,"Charing Cross:93, London Bridge:81, Victoria:94",81
Chatham,Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,63,66,51.380952,0.52213,"Victoria:57, Charing Cross:62",57
Chelmsford,Essex,Greater Anglia,Liverpool Street,,81,46,51.736293,0.4678424,Liverpool Street:39,39
Cheltenham Spa,Gloucestershire,GWR,Paddington,,150,136,51.89735659999999,-2.0996341,Paddington:125,125
Chertsey,Surrey,Chertsey Loop (SWR),Waterloo,,48,65,51.3873148,-0.5094561,Waterloo:61,61
Cheshunt,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,86,15,51.7030511,-0.0239482,Liverpool Street:29,29
Chichester,West Sussex,West Coastway (Southern),Victoria,,47,127,50.83761000000001,-0.774936,Victoria:96,96
Chippenham,Wiltshire,GWR,Paddington,,132,128,51.46236630000001,-2.1153249,Paddington:75,75
Cholsey,Oxfordshire,GWR,Paddington,,95,88,51.57508079999999,-1.1532624,Paddington:62,62
Christchurch,Dorset,South Western Main Line (SWR),Waterloo,,119,149,50.735777,-1.778586,Waterloo:122,122
Clacton-on-Sea,Essex,Greater Anglia,Liverpool Street,,121,82,51.79401,1.15412,Liverpool Street:96,96
Clandon,Surrey,New Guildford Line (SWR),Waterloo,,39,79,51.2639508,-0.5028264,Waterloo:59,59
Claygate,Surrey,New Guildford Line (SWR),Waterloo,,43,75,51.3610745,-0.3482477,Waterloo:41,41
Cobham & Stoke D'Abernon,Surrey,New Guildford Line (SWR),Waterloo,,37,74,51.318096,-0.389323,Waterloo:48,48
Colchester,Essex,Greater Anglia,Liverpool Street,,102,63,51.900702,0.892606,Liverpool Street:55,55
Colchester Town,Essex,Greater Anglia,Liverpool Street,,104,65,51.8864528,0.9042912999999999,Liverpool Street:74,74
Cooden Beach,East Sussex,Hastings Line (Southeastern),Charing Cross,,67,119,50.8336911,0.4271553,Charing Cross:131,131
Cooksbridge,East Sussex,Brighton Main Line (Southern),Victoria / London Bridge,,41,116,50.90375,-0.009179999999999999,"Victoria:70, London Bridge:68",68
Cosham,Hampshire,Portsmouth Direct (SWR),Waterloo,,62,117,50.8433024,-1.0742463,Waterloo:119,119
Coulsdon South,Surrey,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge,,32,80,51.31577739999999,-0.1379421,"Victoria:32, London Bridge:29",29
Coventry,West Midlands,Avanti West Coast / West Midlands Trains,Euston,,145,118,52.4010446,-1.5146755,Euston:64,64
Crawley,West Sussex,Brighton Main Line / Horsham Line (Southern),Victoria,,15,89,51.1121883,-0.1864694,Victoria:43,43
Crowborough,East Sussex,Uckfield Line (Southern),London Bridge,,52,89,51.06085299999999,0.165894,London Bridge:71,71
Cuffley,Hertfordshire,Great Northern (Thameslink),Moorgate / King's Cross,,88,19,51.705037,-0.11246,"Moorgate:42, King's Cross:41",41
Dartford,Kent,Southeastern,Charing Cross / London Bridge,,55,55,51.44621,0.216872,"Charing Cross:53, London Bridge:37",37
Datchet,Berkshire,Windsor Line (SWR),Waterloo,,57,54,51.4840262,-0.5795205999999999,Waterloo:59,59
Deal,Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,112,123,51.222491,1.401661,"Victoria:108, Charing Cross:110",108
Didcot Parkway,Oxfordshire,GWR,Paddington,,103,96,51.61100709999999,-1.2428193,Paddington:43,43
Diss,Norfolk,Greater Anglia,Liverpool Street,,178,102,52.373676,1.123725,Liverpool Street:99,99
Dorchester South,Dorset,South Western Main Line (SWR),Waterloo,,149,182,50.70928199999999,-2.43724,Waterloo:356,356
Dorking,Surrey,Dorking Line (Southern / SWR),Victoria / Waterloo,,22,82,51.2408718,-0.3240387,"Victoria:67, Waterloo:61",61
Dorking West,Surrey,New Guildford Line (SWR),Waterloo,,22,84,51.2364275,-0.3396402,Waterloo:79,79
Dover Priory,Kent,Southeastern / HS1,Victoria / Charing Cross / St Pancras International,,95,112,51.1258166,1.3053609,"Victoria:89, Charing Cross:91, St Pancras International:67",67
Downham Market,Norfolk,Greater Anglia,Liverpool Street,,168,93,52.60409509999999,0.3796495,Liverpool Street:118,118
Dunton Green,Kent,Tonbridge Line (Southeastern),Charing Cross / London Bridge,,42,64,51.293989,0.168881,"Charing Cross:58, London Bridge:47",47
Durrington-on-Sea,West Sussex,West Coastway (Southern),Victoria,,30,127,50.81748469999999,-0.4114158,Victoria:92,92
Earley,Berkshire,Reading via Ascot (SWR),Waterloo,,73,72,51.4409613,-0.9177996999999999,Waterloo:61,61
Eastbourne,East Sussex,East Coastway (Southern),Victoria / London Bridge,,62,128,50.7694189,0.2811993,"Victoria:115, London Bridge:113",113
East Croydon,Greater London,Brighton Main Line (Southern / Thameslink / Southeastern),Victoria / London Bridge / Blackfriars / Charing Cross,,46,82,51.3750493,-0.0926978,"Victoria:16, London Bridge:22, Blackfriars:27, Charing Cross:35",16
East Farleigh,Kent,Medway Valley (Southern),Victoria,,60,77,51.251788,0.4843209999999999,Victoria:94,94
East Grinstead,West Sussex,Oxted Line (Southern),Victoria / London Bridge,,29,88,51.126464,-0.0174314,"Victoria:57, London Bridge:57",57
Eastleigh,Hampshire,South Western Main Line (SWR),Waterloo,,90,120,50.967182,-1.374688,Waterloo:82,82
East Malling,Kent,Maidstone West Line (Southeastern),Charing Cross / London Bridge,,54,72,51.287435,0.440026,"Charing Cross:73, London Bridge:60",60
Ebbsfleet International,Kent,HS1 (Southeastern),St Pancras International,,54,55,51.4430567,0.3209221,St Pancras International:21,21
Edenbridge,Surrey,Oxted Line (Southern),Victoria / London Bridge,,39,75,51.20837059999999,0.06038880000000001,"Victoria:67, London Bridge:63",63
Edenbridge Town,Surrey,Oxted Line (Southern),Victoria / London Bridge,,39,78,51.20008,0.0672,"Victoria:50, London Bridge:46",46
Effingham Junction,Surrey,New Guildford Line (SWR),Waterloo,,37,73,51.2914781,-0.4196482,Waterloo:55,55
Egham,Surrey,Windsor / Reading via Ascot (SWR),Waterloo,,54,57,51.4293406,-0.5470285,Waterloo:48,48
Elmswell,Suffolk,Greater Anglia,Liverpool Street,,155,80,52.23805609999999,0.9126569,Liverpool Street:108,108
Elstree & Borehamwood,Hertfordshire,Thameslink,St Pancras / Blackfriars,,84,28,51.6531143,-0.2797268,"St Pancras:30, Blackfriars:36",30
Ely,Cambridgeshire,Greater Anglia / Thameslink,Liverpool Street / King's Cross,,144,71,52.390988,0.2665389,"Liverpool Street:102, King's Cross:83",83
Emsworth,Hampshire,West Coastway (Southern),Victoria,,56,117,50.848132,-0.937928,Victoria:111,111
Enfield Lock,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,84,20,51.6682711,-0.0420368,Liverpool Street:48,48
Epsom,Surrey,Epsom Line (Southern / SWR),Victoria / London Bridge / Waterloo,,38,81,51.33510039999999,-0.2637125,"Victoria:48, London Bridge:58, Waterloo:43",43
Etchingham,East Sussex,Hastings Line (Southeastern),Charing Cross,,71,93,51.0105991,0.4423045,Charing Cross:76,76
Ewell East,Surrey,Epsom Line (Southern),London Bridge / Victoria,,41,82,51.34529,-0.2415,"London Bridge:41, Victoria:43",41
Ewell West,Surrey,Epsom Line (SWR),Waterloo,,41,83,51.3500678,-0.2569679,Waterloo:39,39
Exeter Central,Devon,GWR,Paddington,,210,229,50.7260089,-3.5332598,Paddington:306,306
Exeter St. Davids,Devon,GWR,Paddington,,210,230,50.729369,-3.5435122,Paddington:338,338
Eynsford,Kent,Maidstone East Line (Southeastern),Victoria,,52,60,51.3651346,0.2097801,Victoria:52,52
Falmer,East Sussex,Brighton Main Line (Southern),Victoria / London Bridge,,34,114,50.8668892,-0.0875363,"Victoria:100, London Bridge:98",98
Fareham,Hampshire,Fareham Line (SWR / Southern),Waterloo / Victoria,,67,122,50.8530568,-1.1919279,"Waterloo:116, Victoria:139",116
Farnborough (Main),Hampshire,South Western Main Line (SWR),Waterloo,,62,73,51.2966348,-0.755443,Waterloo:42,42
Farnborough North,Hampshire,North Downs Line (SWR),Waterloo,,60,71,51.3019894,-0.7429568,Waterloo:64,64
Farncombe,Surrey,Portsmouth Direct (SWR),Waterloo,,40,84,51.1975213,-0.602507,Waterloo:51,51
Farnham,Surrey,Alton Line (SWR),Waterloo,,67,122,50.8530568,-1.1919279,Waterloo:116,116
Farningham Road,Kent,Chatham Main Line (Southeastern),Victoria,,51,56,51.4015639,0.2355141,Victoria:52,52
Faversham,Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,78,85,51.315994,0.889358,"Victoria:82, Charing Cross:88",82
Faygate,West Sussex,Horsham Line (Southern),Victoria,,7,95,51.09589,-0.26299,Victoria:58,58
Felixstowe,Suffolk,Greater Anglia,Liverpool Street,,130,91,51.96708,1.35047,Liverpool Street:110,110
Finsbury Park,Greater London,Great Northern (Thameslink),King's Cross / Moorgate,,89,45,51.5641721,-0.1059154,"King's Cross:12, Moorgate:17",12
